NID,PID
1567,1614
1568,1615
1569,1616
1570,1617
1571,1618
1572,1619
1573,1620
1574,1621
1575,1622
1576,1623
1577,1624
1578,1625
1579,1626
1580,1627
1581,1628
1582,1629
1583,1630
1584,1631
1585,1632
1586,1633
1587,1634
1588,1635
1589,1636
1590,1637
1591,1638
1592,1639
1593,1640
1594,1641
1595,1642
1596,1643
1597,1644
1598,1645
1599,1646
1600,1647
1601,1648
1602,1649
1603,1650
1604,1651
1605,1652
1606,1653
1607,1654
1608,1655
1609,1656
1610,1657
1611,1658
1612,1659
1613,1660
1614,1661
1615,1662
1616,1663
1617,1664
1618,1665
1619,1666
1620,1667
1621,1668
1622,1669
1623,1670
1624,1671
1625,1672
1626,1673
1627,1674
1628,1675
1629,1676
1630,1677
1631,1678
1632,1679
1633,1680
1634,1681
1635,1682
1636,1683
1637,1684
1638,1685
1639,1686
1640,1687
1641,1688
1642,1689
1643,1690
1644,1691
1645,1692
1646,1693
1647,1694
1648,1695
1649,1696
1650,1697
1651,1698
1652,1699
1653,1700
1654,1701
1655,1702
1656,1703
1657,1704
1658,1705
1659,1706
1660,1707
1661,1708
1662,1709
1663,1710
1664,1711
1665,1712
1666,1713
1667,1714
1668,1715
1669,1716
1670,1717
1671,1718
1672,1719
1673,1720
1674,1721
1675,1722
1676,1723
1677,1724
1678,1725
1679,1726
1680,1727
1681,1728
1682,1729
1684,1731
1685,1732
1686,1733
1687,1734
1688,1735
1689,1736
1690,1737
1691,1738
1692,1739
1693,1740
1694,1741
1695,1742
1696,1743
1697,1744
1698,1745
1699,1746
1700,1747
1701,1748
1702,1749
1703,1750
1704,1751
1705,1752
1706,1753
1707,1754
1708,1755
1709,1756
1710,1757
1711,1758
1712,1759
1713,1760
1714,1761
1715,1762
1716,1763
1717,1764
1718,1765
1719,1766
1720,1767
1721,1768
1722,1769
1723,1770
1724,1771
1725,1772
1726,1773
1727,1774
1728,1775
1729,1776
1730,1777
1731,1778
1732,1779
1733,1780
1734,1781
1735,1782
1736,1783
1737,1784
1738,1785
1739,1786
1740,1787
1741,1788
1742,1789
1743,1790
1744,1791
1745,1792
1746,1793
1747,1794
1748,1795
1749,1796
1750,1797
1751,1798
1752,1799
1753,1800
1754,1801
1755,1802
1756,1803
1757,1804
1758,1805
1759,1806
1760,1807
1761,1808
1762,1809
1763,1810
1764,1811
1765,1812
1766,1813
1767,1814
1768,1815
1769,1816
1770,1817
1771,1818
1772,1819
1773,1820
1774,1821
1775,1822
1776,1823
1777,1824
1778,1825
1779,1826
1780,1827
1781,1828
1782,1829
1783,1830
1784,1831
1785,1832
1786,1833
1787,1834
1788,1835
1789,1836
1790,1837
1791,1838
1792,1839
1793,1840
1794,1841
1795,1842
1796,1843
1797,1844
1798,1845
1799,1846
1800,1847
1801,1848
1802,1849
1803,1850
1804,1851
1805,1852
1806,1853
1807,1854
1808,1855
1809,1856
1810,1857
1811,1858
1812,1859
1813,1860
1814,1861
1815,1862
1816,1863
1817,1864
1818,1865
1819,1866
1820,1867
1821,1868
1822,1869
1823,1870
1824,1871
1825,1872
1826,1873
1827,1874
1828,1875
1829,1876
1830,1877
1835,1882
1836,1883
1837,1884
